x,y,z
350,126,46
398,126,46
398,142,46
334,158,46
254,174,46
318,174,46
382,174,46
286,190,46
318,190,46
350,190,46
366,190,46
382,190,46
398,190,46
366,206,46
382,206,46
254,110,62
238,126,62
254,126,62
270,142,62
414,142,62
238,158,62
414,158,62
238,174,62
270,174,62
286,174,62
302,174,62
414,174,62
222,190,62
238,190,62
270,190,62
286,190,62
302,190,62
398,190,62
238,206,62
270,206,62
286,206,62
302,206,62
398,206,62
446,206,62
462,206,62
270,222,62
302,222,62
398,222,62
446,222,62
302,238,62
318,238,62
366,238,62
462,238,62
334,254,62
238,94,78
254,94,78
222,110,78
238,110,78
254,110,78
222,126,78
238,126,78
430,126,78
462,126,78
478,126,78
494,126,78
414,142,78
430,142,78
462,142,78
478,142,78
494,142,78
238,158,78
414,158,78
430,158,78
494,158,78
222,174,78
238,174,78
430,174,78
222,190,78
254,190,78
270,190,78
446,190,78
478,190,78
222,206,78
238,206,78
414,206,78
398,222,78
446,222,78
462,222,78
478,222,78
286,238,78
302,238,78
382,238,78
446,238,78
478,238,78
286,254,78
334,254,78
350,254,78
366,254,78
462,254,78
478,254,78
302,270,78
318,270,78
334,270,78
222,78,94
238,78,94
270,78,94
190,110,94
206,110,94
478,110,94
510,110,94
190,126,94
206,126,94
222,126,94
430,126,94
462,126,94
478,126,94
510,126,94
190,142,94
414,142,94
430,142,94
462,142,94
478,142,94
494,142,94
510,142,94
526,142,94
206,158,94
430,158,94
478,158,94
494,158,94
510,158,94
190,174,94
414,174,94
430,174,94
446,174,94
478,174,94
494,174,94
510,174,94
174,190,94
190,190,94
254,190,94
446,190,94
462,190,94
478,190,94
494,190,94
190,206,94
222,206,94
414,206,94
446,206,94
462,206,94
478,206,94
494,206,94
222,222,94
238,222,94
398,222,94
478,222,94
270,238,94
398,238,94
478,238,94
494,238,94
238,254,94
254,254,94
334,254,94
478,254,94
254,270,94
286,270,94
302,270,94
334,270,94
302,286,94
318,286,94
334,286,94
222,62,110
334,94,110
494,94,110
206,110,110
318,110,110
350,110,110
414,110,110
446,110,110
462,110,110
206,126,110
286,126,110
414,126,110
446,126,110
462,126,110
510,126,110
174,142,110
190,142,110
302,142,110
334,142,110
414,142,110
446,142,110
526,142,110
174,158,110
190,158,110
206,158,110
414,158,110
526,158,110
174,174,110
190,174,110
206,174,110
238,174,110
414,174,110
494,174,110
510,174,110
526,174,110
174,190,110
190,190,110
206,190,110
414,190,110
430,190,110
446,190,110
462,190,110
478,190,110
510,190,110
174,206,110
190,206,110
430,206,110
446,206,110
190,222,110
206,222,110
398,222,110
446,222,110
462,222,110
478,222,110
222,238,110
238,238,110
382,238,110
478,238,110
222,254,110
238,254,110
254,254,110
238,270,110
270,270,110
286,270,110
318,270,110
334,270,110
254,286,110
270,286,110
318,286,110
222,62,126
334,94,126
430,94,126
446,94,126
414,110,126
462,110,126
318,126,126
398,126,126
414,126,126
446,126,126
462,126,126
414,142,126
430,142,126
446,142,126
158,158,126
174,158,126
190,158,126
398,158,126
414,158,126
430,158,126
526,158,126
174,174,126
254,174,126
350,174,126
398,174,126
430,174,126
478,174,126
494,174,126
510,174,126
526,174,126
206,190,126
350,190,126
366,190,126
430,190,126
494,190,126
510,190,126
526,190,126
398,206,126
430,206,126
462,206,126
190,222,126
206,222,126
238,222,126
382,222,126
462,222,126
238,238,126
222,254,126
238,254,126
238,270,126
254,270,126
270,270,126
286,270,126
254,286,126
286,286,126
302,78,142
446,78,142
414,94,142
446,94,142
334,110,142
398,110,142
414,110,142
350,126,142
382,126,142
398,126,142
430,126,142
446,126,142
174,142,142
334,142,142
382,142,142
430,142,142
462,142,142
158,158,142
174,158,142
430,158,142
510,158,142
174,174,142
190,174,142
270,174,142
302,174,142
318,174,142
334,174,142
350,174,142
430,174,142
494,174,142
510,174,142
526,174,142
542,174,142
142,190,142
190,190,142
270,190,142
366,190,142
510,190,142
526,190,142
238,206,142
254,206,142
270,206,142
286,206,142
334,206,142
350,206,142
366,206,142
158,222,142
190,222,142
206,222,142
222,222,142
254,222,142
302,222,142
206,238,142
254,238,142
222,254,142
238,254,142
270,254,142
286,254,142
254,270,142
270,270,142
238,286,142
254,286,142
270,286,142
286,286,142
446,78,158
286,94,158
302,94,158
382,94,158
398,94,158
414,94,158
430,94,158
446,94,158
110,110,158
302,110,158
398,110,158
414,110,158
446,110,158
110,126,158
398,126,158
414,126,158
430,126,158
478,126,158
78,142,158
110,142,158
126,142,158
158,142,158
174,142,158
270,142,158
414,142,158
430,142,158
446,142,158
62,158,158
78,158,158
94,158,158
142,158,158
158,158,158
174,158,158
414,158,158
430,158,158
174,174,158
254,174,158
286,174,158
318,174,158
350,174,158
382,174,158
398,174,158
414,174,158
510,174,158
142,190,158
286,190,158
334,190,158
366,190,158
382,190,158
494,190,158
542,190,158
222,206,158
350,206,158
366,206,158
446,206,158
174,222,158
238,222,158
350,222,158
206,238,158
222,238,158
270,238,158
286,238,158
318,238,158
238,254,158
270,254,158
286,254,158
478,254,158
206,270,158
222,270,158
238,270,158
254,270,158
270,270,158
286,270,158
190,286,158
206,286,158
222,286,158
238,286,158
254,286,158
366,46,174
238,62,174
398,62,174
382,78,174
398,78,174
110,94,174
302,94,174
398,94,174
430,94,174
110,110,174
190,110,174
382,110,174
398,110,174
414,110,174
446,110,174
494,110,174
62,126,174
110,126,174
126,126,174
142,126,174
414,126,174
430,126,174
462,126,174
494,126,174
78,142,174
110,142,174
126,142,174
142,142,174
158,142,174
174,142,174
414,142,174
430,142,174
446,142,174
78,158,174
110,158,174
126,158,174
414,158,174
430,158,174
478,158,174
494,158,174
94,174,174
110,174,174
126,174,174
350,174,174
478,174,174
494,174,174
510,174,174
286,190,174
302,190,174
366,190,174
382,190,174
494,190,174
510,190,174
142,206,174
318,206,174
430,206,174
446,206,174
542,206,174
254,222,174
286,222,174
430,222,174
446,222,174
462,222,174
254,238,174
270,238,174
302,238,174
462,238,174
478,238,174
190,254,174
270,254,174
318,254,174
190,270,174
254,270,174
270,270,174
478,270,174
190,286,174
238,286,174
318,14,190
382,14,190
238,30,190
254,30,190
318,30,190
350,30,190
382,30,190
238,46,190
254,46,190
286,46,190
398,46,190
238,62,190
254,62,190
206,78,190
238,78,190
254,78,190
270,78,190
382,78,190
430,78,190
190,94,190
206,94,190
286,94,190
462,94,190
478,94,190
494,94,190
62,110,190
78,110,190
110,110,190
190,110,190
382,110,190
430,110,190
446,110,190
494,110,190
78,126,190
94,126,190
110,126,190
142,126,190
158,126,190
174,126,190
398,126,190
430,126,190
94,142,190
110,142,190
126,142,190
142,142,190
382,142,190
398,142,190
462,142,190
510,142,190
46,158,190
78,158,190
110,158,190
158,158,190
254,158,190
414,158,190
446,158,190
478,158,190
494,158,190
110,174,190
318,174,190
334,174,190
414,174,190
494,174,190
270,190,190
286,190,190
302,190,190
334,190,190
398,190,190
446,190,190
526,190,190
142,206,190
174,206,190
286,206,190
302,206,190
334,206,190
350,206,190
382,206,190
158,222,190
286,222,190
430,222,190
302,238,190
318,238,190
382,238,190
462,238,190
478,238,190
174,254,190
302,254,190
382,254,190
462,254,190
478,254,190
542,254,190
462,270,190
542,270,190
286,14,206
318,14,206
350,14,206
366,14,206
238,30,206
254,30,206
286,30,206
302,30,206
318,30,206
350,30,206
366,30,206
398,30,206
174,46,206
206,46,206
222,46,206
286,46,206
366,46,206
382,46,206
398,46,206
334,62,206
270,78,206
350,78,206
366,78,206
382,78,206
430,78,206
446,78,206
462,78,206
110,94,206
190,94,206
222,94,206
302,94,206
334,94,206
382,94,206
430,94,206
446,94,206
462,94,206
494,94,206
62,110,206
78,110,206
94,110,206
142,110,206
174,110,206
190,110,206
430,110,206
446,110,206
462,110,206
478,110,206
494,110,206
46,126,206
94,126,206
110,126,206
126,126,206
142,126,206
158,126,206
174,126,206
414,126,206
446,126,206
462,126,206
478,126,206
62,142,206
126,142,206
142,142,206
254,142,206
350,142,206
382,142,206
398,142,206
526,142,206
78,158,206
94,158,206
126,158,206
158,158,206
270,158,206
286,158,206
350,158,206
366,158,206
382,158,206
414,158,206
494,158,206
94,174,206
110,174,206
126,174,206
142,174,206
254,174,206
334,174,206
350,174,206
366,174,206
446,174,206
462,174,206
494,174,206
526,174,206
110,190,206
126,190,206
158,190,206
302,190,206
334,190,206
350,190,206
366,190,206
382,190,206
398,190,206
414,190,206
430,190,206
446,190,206
462,190,206
478,190,206
174,206,206
190,206,206
206,206,206
286,206,206
302,206,206
334,206,206
350,206,206
382,206,206
398,206,206
414,206,206
446,206,206
462,206,206
478,206,206
494,206,206
510,206,206
206,222,206
254,222,206
270,222,206
302,222,206
334,222,206
350,222,206
478,222,206
494,222,206
270,238,206
286,238,206
302,238,206
494,238,206
510,238,206
270,254,206
382,254,206
430,254,206
494,254,206
270,270,206
382,270,206
494,270,206
510,270,206
318,14,222
350,14,222
366,14,222
254,30,222
270,30,222
286,30,222
334,30,222
350,30,222
382,30,222
286,46,222
318,46,222
334,46,222
350,46,222
366,46,222
382,46,222
398,46,222
158,62,222
206,62,222
318,62,222
334,62,222
350,62,222
366,62,222
382,62,222
398,62,222
414,62,222
142,78,222
174,78,222
190,78,222
206,78,222
334,78,222
350,78,222
382,78,222
430,78,222
446,78,222
222,94,222
270,94,222
350,94,222
430,94,222
446,94,222
462,94,222
78,110,222
110,110,222
126,110,222
142,110,222
158,110,222
206,110,222
414,110,222
430,110,222
462,110,222
478,110,222
494,110,222
510,110,222
62,126,222
78,126,222
94,126,222
110,126,222
126,126,222
142,126,222
158,126,222
366,126,222
382,126,222
414,126,222
430,126,222
446,126,222
462,126,222
478,126,222
526,126,222
46,142,222
62,142,222
174,142,222
286,142,222
350,142,222
366,142,222
382,142,222
430,142,222
446,142,222
62,158,222
126,158,222
174,158,222
270,158,222
334,158,222
366,158,222
382,158,222
414,158,222
446,158,222
510,158,222
542,158,222
142,174,222
238,174,222
254,174,222
270,174,222
318,174,222
334,174,222
350,174,222
366,174,222
382,174,222
446,174,222
478,174,222
526,174,222
126,190,222
254,190,222
334,190,222
350,190,222
366,190,222
398,190,222
414,190,222
446,190,222
462,190,222
478,190,222
494,190,222
206,206,222
222,206,222
350,206,222
366,206,222
478,206,222
494,206,222
110,222,222
238,222,222
254,222,222
270,222,222
286,222,222
302,222,222
350,222,222
366,222,222
430,222,222
462,222,222
478,222,222
494,222,222
510,222,222
238,238,222
270,238,222
286,238,222
302,238,222
318,238,222
334,238,222
350,238,222
430,238,222
478,238,222
510,238,222
542,238,222
270,254,222
318,254,222
334,254,222
494,254,222
238,270,222
254,270,222
318,270,222
430,270,222
318,286,222
286,30,238
302,30,238
318,30,238
334,30,238
350,30,238
302,46,238
334,46,238
350,46,238
334,62,238
382,62,238
398,62,238
414,62,238
206,78,238
270,78,238
366,78,238
382,78,238
398,78,238
430,78,238
446,78,238
190,94,238
222,94,238
430,94,238
462,94,238
478,94,238
126,110,238
142,110,238
158,110,238
446,110,238
462,110,238
478,110,238
494,110,238
510,110,238
110,126,238
126,126,238
350,126,238
366,126,238
382,126,238
398,126,238
446,126,238
478,126,238
494,126,238
526,126,238
46,142,238
350,142,238
366,142,238
382,142,238
414,142,238
430,142,238
446,142,238
510,142,238
542,142,238
46,158,238
270,158,238
286,158,238
334,158,238
350,158,238
366,158,238
414,158,238
254,174,238
318,174,238
478,174,238
494,174,238
510,174,238
526,174,238
206,190,238
254,190,238
270,190,238
334,190,238
350,190,238
382,190,238
494,190,238
510,190,238
270,206,238
302,206,238
334,206,238
350,206,238
366,206,238
382,206,238
222,222,238
238,222,238
270,222,238
286,222,238
302,222,238
350,222,238
366,222,238
510,222,238
526,222,238
238,238,238
254,238,238
334,238,238
350,238,238
446,238,238
542,238,238
238,254,238
270,254,238
334,254,238
350,254,238
238,270,238
446,270,238
286,14,254
350,14,254
366,14,254
334,30,254
350,30,254
366,30,254
222,46,254
350,46,254
366,46,254
382,46,254
206,62,254
222,62,254
318,62,254
334,62,254
366,62,254
382,62,254
398,62,254
270,78,254
366,78,254
382,78,254
398,78,254
110,94,254
126,94,254
174,94,254
206,94,254
286,94,254
430,94,254
446,94,254
462,94,254
478,94,254
78,110,254
110,110,254
174,110,254
190,110,254
206,110,254
414,110,254
430,110,254
446,110,254
462,110,254
510,110,254
78,126,254
94,126,254
110,126,254
142,126,254
350,126,254
366,126,254
382,126,254
414,126,254
430,126,254
446,126,254
462,126,254
478,126,254
494,126,254
126,142,254
254,142,254
286,142,254
302,142,254
334,142,254
350,142,254
366,142,254
382,142,254
414,142,254
430,142,254
446,142,254
510,142,254
542,142,254
286,158,254
334,158,254
350,158,254
366,158,254
382,158,254
494,158,254
510,158,254
254,174,254
270,174,254
286,174,254
318,174,254
350,174,254
382,174,254
446,174,254
526,174,254
254,190,254
270,190,254
286,190,254
318,190,254
334,190,254
350,190,254
366,190,254
398,190,254
462,190,254
478,190,254
494,190,254
206,206,254
254,206,254
270,206,254
286,206,254
318,206,254
334,206,254
350,206,254
382,206,254
478,206,254
510,206,254
110,222,254
222,222,254
238,222,254
254,222,254
270,222,254
286,222,254
302,222,254
318,222,254
334,222,254
350,222,254
366,222,254
414,222,254
526,222,254
270,238,254
286,238,254
302,238,254
334,238,254
350,238,254
414,238,254
446,238,254
462,238,254
526,238,254
238,254,254
254,254,254
270,254,254
302,254,254
318,254,254
334,254,254
350,254,254
430,254,254
462,254,254
494,254,254
382,270,254
318,286,254
286,14,270
302,14,270
318,14,270
366,14,270
286,30,270
302,30,270
318,30,270
334,30,270
366,30,270
222,46,270
286,46,270
302,46,270
366,46,270
206,62,270
222,62,270
318,62,270
190,78,270
206,78,270
414,78,270
110,94,270
190,94,270
206,94,270
398,94,270
446,94,270
462,94,270
478,94,270
62,110,270
78,110,270
94,110,270
110,110,270
190,110,270
414,110,270
430,110,270
446,110,270
494,110,270
46,126,270
62,126,270
94,126,270
110,126,270
142,126,270
158,126,270
302,126,270
334,126,270
366,126,270
382,126,270
398,126,270
414,126,270
430,126,270
446,126,270
462,126,270
478,126,270
46,142,270
142,142,270
174,142,270
318,142,270
350,142,270
366,142,270
382,142,270
398,142,270
430,142,270
494,142,270
46,158,270
62,158,270
126,158,270
158,158,270
254,158,270
286,158,270
334,158,270
382,158,270
398,158,270
414,158,270
494,158,270
510,158,270
94,174,270
110,174,270
126,174,270
142,174,270
158,174,270
254,174,270
270,174,270
318,174,270
334,174,270
350,174,270
382,174,270
446,174,270
462,174,270
510,174,270
526,174,270
126,190,270
254,190,270
302,190,270
318,190,270
334,190,270
350,190,270
366,190,270
382,190,270
398,190,270
462,190,270
478,190,270
206,206,270
222,206,270
238,206,270
254,206,270
270,206,270
302,206,270
318,206,270
334,206,270
350,206,270
382,206,270
398,206,270
494,206,270
510,206,270
222,222,270
254,222,270
270,222,270
286,222,270
302,222,270
318,222,270
334,222,270
350,222,270
430,222,270
446,222,270
478,222,270
510,222,270
286,238,270
302,238,270
334,238,270
350,238,270
414,238,270
430,238,270
446,238,270
462,238,270
510,238,270
526,238,270
286,254,270
382,254,270
446,254,270
238,270,270
254,270,270
302,270,270
542,270,270
286,286,270
318,30,286
222,46,286
382,46,286
462,62,286
382,78,286
414,78,286
430,78,286
446,78,286
462,78,286
478,78,286
398,94,286
430,94,286
446,94,286
462,94,286
478,94,286
62,110,286
78,110,286
110,110,286
366,110,286
382,110,286
398,110,286
414,110,286
430,110,286
462,110,286
494,110,286
46,126,286
62,126,286
78,126,286
94,126,286
142,126,286
158,126,286
414,126,286
430,126,286
446,126,286
462,126,286
46,142,286
110,142,286
126,142,286
142,142,286
158,142,286
430,142,286
446,142,286
494,142,286
46,158,286
62,158,286
94,158,286
126,158,286
142,158,286
158,158,286
254,158,286
286,158,286
318,158,286
430,158,286
494,158,286
78,174,286
110,174,286
158,174,286
270,174,286
318,174,286
350,174,286
366,174,286
382,174,286
478,174,286
494,174,286
254,190,286
318,190,286
334,190,286
350,190,286
366,190,286
382,190,286
462,190,286
494,190,286
510,190,286
126,206,286
206,206,286
238,206,286
270,206,286
286,206,286
302,206,286
318,206,286
334,206,286
350,206,286
366,206,286
382,206,286
430,206,286
446,206,286
462,206,286
478,206,286
270,222,286
286,222,286
302,222,286
318,222,286
334,222,286
350,222,286
398,222,286
462,222,286
478,222,286
494,222,286
510,222,286
254,238,286
286,238,286
302,238,286
318,238,286
334,238,286
382,238,286
398,238,286
430,238,286
462,238,286
478,238,286
510,238,286
526,238,286
270,254,286
286,254,286
302,254,286
318,254,286
382,254,286
398,254,286
462,254,286
510,254,286
254,270,286
462,270,286
302,14,302
382,14,302
334,30,302
382,30,302
190,62,302
206,62,302
222,62,302
158,78,302
206,78,302
238,78,302
366,78,302
414,78,302
430,78,302
446,78,302
478,78,302
158,94,302
174,94,302
206,94,302
350,94,302
366,94,302
382,94,302
414,94,302
430,94,302
446,94,302
462,94,302
