x,y,z
333,108,73
335,174,67
341,221,67
325,197,70
327,81,90
325,120,90
345,235,90
318,206,90
300,116,90
311,70,110
292,128,110
342,236,110
294,69,130
298,99,130
261,127,130
282,69,150
240,140,150
240,100,205
215,100,173
215,181,187
264,95,198
166,178,198
186,125,188
263,81,185
277,81,132
246,129,230
247,140,167
247,142,284
267,108,230
286,118,216
306,102,216
326,105,212
356,83,164
376,90,143
225,162,228
206,111,270
206,186,271
208,147,281
216,104,269
216,180,270
216,138,283
236,98,282
323,98,373
274,99,325
287,117,243
278,123,248
278,103,274
189,122,265
258,122,314
334,237,368
334,185,401
334,83,267
334,88,183
322,106,250
315,87,355
174,171,262
226,171,262
226,171,193
226,130,288
226,100,278
222,176,228
376,83,309
